GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TeamVenture Business Service,com.teamventure.infrastructure.cache,StaticMapUrlCache,341,0,12,0,96,0,20,0,14,0
TeamVenture Business Service,com.teamventure.app.service,Jsons,73,0,12,0,20,0,12,0,6,0
TeamVenture Business Service,com.teamventure.app.service,Jsons.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,Jsons.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,PlanService.MapData,103,0,10,0,14,0,6,0,1,0
TeamVenture Business Service,com.teamventure.app.service,Jsons.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,PlanService.DayRouteType,21,0,0,0,4,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,XiaohongshuImportService.ScrapedNote,17,0,4,0,4,0,3,0,1,0
TeamVenture Business Service,com.teamventure.app.service,MarkdownOptimizeService,1115,0,168,0,212,0,99,0,15,0
TeamVenture Business Service,com.teamventure.app.service,PlanService,5379,0,565,0,1117,0,338,0,54,0
TeamVenture Business Service,com.teamventure.app.service,OssService.Category,15,0,0,0,3,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,OssService,379,55,67,4,77,11,46,2,9,2
TeamVenture Business Service,com.teamventure.app.service,OssService.UploadResult,18,0,0,0,1,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,InternalPlanCallbackService,135,0,6,0,32,0,6,0,3,0
TeamVenture Business Service,com.teamventure.app.service,XiaohongshuImportService,4023,0,754,0,765,0,445,0,64,0
TeamVenture Business Service,com.teamventure.app.service,PlanService.RouteSegment,15,0,0,0,6,0,1,0,1,0
TeamVenture Business Service,com.teamventure.app.service,XiaohongshuImportService.ResolveNoteIdResult,17,0,4,0,4,0,3,0,1,0
TeamVenture Business Service,com.teamventure.app.service,PlanService.new LinkedHashMap() {...},14,0,2,0,2,0,3,0,2,0
TeamVenture Business Service,com.teamventure.app.service,PlanService.new LinkedHashMap() {...},14,0,2,0,2,0,3,0,2,0
